Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
18 OCT 2024,ALPHAGEO,BE,ALPHAGEO (INDIA) LIMITED ,Listed    ,18 OCT 2024,              10.00,           6364767,            424.90,     2704389498.30  
18 OCT 2024,ALPSINDUS,BE,ALPS INDUSTRIES LTD.     ,Listed    ,18 OCT 2024,              10.00,          39114100,              3.70,      144331029.00 
18 OCT 2024,ALUWIND,ST,ALUWIND ARCHITECTURAL LTD,Listed    ,18 OCT 2024,              10.00,          24847420,             63.50,     1577811170.00   
18 OCT 2024,AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED  ,Listed    ,16 OCT 2024,              10.00,           7058659,             93.80,      662102214.20
18 OCT 2024,AMBER,EQ,AMBER ENTERPRISES (I) LTD,Listed    ,18 OCT 2024,              10.00,          33753906,           5403.55,   182390918766.30     
18 OCT 2024,AMBEY,SM,AMBEY LABORATORIES LTD   ,Listed    ,18 OCT 2024,              10.00,          24946819,             62.00,     1546702778.00     
18 OCT 2024,AMBICAAGAR,EQ,AMBICA AGAR & AROMAINDLTD,Listed    ,18 OCT 2024,              10.00,          17177400,             27.85,      478047042.00
18 OCT 2024,AMBIKCO,EQ,AMBIKA COTTON MILL LTD.  ,Listed    ,18 OCT 2024,              10.00,           5725000,           1604.20,     9184045000.00   
18 OCT 2024,AMBUJACEM,EQ,AMBUJA CEMENTS LTD       ,Listed    ,18 OCT 2024,               2.00,        2463123478,            573.95,  1413709720198.10 
18 OCT 2024,AMDIND,EQ,AMD INDUSTRIES LIMITED   ,Listed    ,18 OCT 2024,              10.00,          19166749,             70.50,     1351639139.50    
18 OCT 2024,AMEYA,ST,AMEYA PRECISION ENG LTD  ,Listed    ,18 OCT 2024,              10.00,           7500000,            106.70,      800250000.00     
18 OCT 2024,AMIABLE,SM,AMIABLE LOGISTICS (I) LTD,Listed    ,18 OCT 2024,              10.00,           1748200,             88.00,      153841600.00   
18 OCT 2024,AMIORG,EQ,AMI ORGANICS LIMITED     ,Listed    ,18 OCT 2024,              10.00,          40927511,           1590.60,    65099298996.60    
18 OCT 2024,AMJLAND,BE,AMJ LAND HOLDINGS LIMITED,Listed    ,18 OCT 2024,               2.00,          41000000,             53.35,     2187760000.00   
18 OCT 2024,AMJUMBO,SM,A AND M JUMBO BAGS LTD   ,Listed    ,18 OCT 2024,              10.00,          10500000,             13.10,      137550000.00   
18 OCT 2024,AMNPLST,EQ,AMINES & PLASTICIZERS LTD,Listed    ,18 OCT 2024,               2.00,          55020000,            325.75,    17922765000.00   
18 OCT 2024,AMRUTANJAN,EQ,AMRUTAJAN HEALTH LTD     ,Listed    ,18 OCT 2024,               1.00,          28910630,            769.70,    22252511911.00
18 OCT 2024,ANANDRATHI,EQ,ANAND RATHI WEALTH LTD   ,Listed    ,18 OCT 2024,               5.00,          41510317,           4286.30,   177925671757.10
18 OCT 2024,ANANTRAJ,EQ,ANANT RAJ LIMITED        ,Listed    ,18 OCT 2024,               2.00,         341890753,            767.05,   262247302088.65  
18 OCT 2024,ANDHRAPAP,EQ,ANDHRA PAPER LIMITED     ,Listed    ,18 OCT 2024,               2.00,         198850195,            101.40,    20161421271.05 
18 OCT 2024,ANDHRSUGAR,EQ,ANDHRA SUGARS LTD        ,Listed    ,18 OCT 2024,               2.00,         135535390,            104.15,    14116010868.50
18 OCT 2024,ANGELONE,EQ,ANGEL ONE LIMITED        ,Listed    ,18 OCT 2024,              10.00,          90134913,           3114.40,   280716173047.20  
18 OCT 2024,ANIKINDS,BE,ANIK INDUSTRIES LTD      ,Listed    ,18 OCT 2024,              10.00,          27753486,             80.50,     2233878088.15  
18 OCT 2024,ANKITMETAL,BE,ANKIT MET & POW LTD      ,Listed    ,18 OCT 2024,              10.00,         141110500,              3.70,      520697745.00
18 OCT 2024,ANLON,SM,ANLON TECHNOLOGY SOL LTD ,Listed    ,18 OCT 2024,              10.00,           6255400,            502.45,     3143025730.00     
18 OCT 2024,ANMOL,EQ,ANMOL INDIA LIMITED      ,Listed    ,18 OCT 2024,              10.00,          56914150,             32.00,     1821821941.50     
18 OCT 2024,ANNAPURNA,SM,ANNAPURNA SWADISHT LTD   ,Listed    ,18 OCT 2024,              10.00,          21820000,            395.30,     8625446000.00 
18 OCT 2024,ANTGRAPHIC,BE,ANTARCTICA LTD           ,Listed    ,18 OCT 2024,               1.00,         155009600,              1.90,      294518240.00
18 OCT 2024,ANUP,EQ,THE ANUP ENGINEERING LTD ,Listed    ,18 OCT 2024,              10.00,          19967466,           2699.15,    53895185853.90      
18 OCT 2024,ANURAS,EQ,ANUPAM RASAYAN INDIA LTD ,Listed    ,18 OCT 2024,              10.00,         109834688,            726.45,    79789409097.60    
18 OCT 2024,ANZEN,IV,ANZEN IND ENE YLD PLU TRU,Listed    ,08 OCT 2024,             100.00,         158000000,            101.50,    16040160000.00     
18 OCT 2024,APARINDS,EQ,APAR INDUSTRIES LTD.     ,Listed    ,18 OCT 2024,              10.00,          40168315,          10138.45,   407244453211.75  
18 OCT 2024,APCL,EQ,ANJANI PORTLAND CEM LTD  ,Listed    ,18 OCT 2024,              10.00,          29374764,            175.05,     5141758690.55      
18 OCT 2024,APCOTEXIND,EQ,APCOTEX INDUSTRIES LIMITE,Listed    ,18 OCT 2024,               2.00,          51844960,            415.00,    21515658400.00
18 OCT 2024,APEX,EQ,APEX FROZEN FOODS LIMITED,Listed    ,18 OCT 2024,              10.00,          31250000,            265.30,     8290625000.00      
18 OCT 2024,APLAPOLLO,EQ,APL APOLLO TUBES LTD     ,Listed    ,18 OCT 2024,               2.00,         277524564,           1576.05,   437392589092.20 
18 OCT 2024,APLLTD,EQ,ALEMBIC PHARMA LTD       ,Listed    ,18 OCT 2024,               2.00,         196563124,           1160.20,   228052536464.80    
18 OCT 2024,APOLLO,EQ,APOLLO MICRO SYSTEMS LTD ,Listed    ,18 OCT 2024,               1.00,         306489560,             98.90,    30305687692.80    
18 OCT 2024,APOLLOHOSP,EQ,APOLLO HOSPITALS ENTER. L,Listed    ,18 OCT 2024,               5.00,         143784657,           6982.90,  1004033881365.30
18 OCT 2024,APOLLOPIPE,EQ,APOLLO PIPES LIMITED     ,Listed    ,18 OCT 2024,              10.00,          41353206,            547.25,    22630541983.50
18 OCT 2024,APOLLOTYRE,EQ,APOLLO TYRES LTD         ,Listed    ,18 OCT 2024,               1.00,         635100946,            505.75,   321202303439.50
18 OCT 2024,APOLSINHOT,EQ,APOLLO SINDOORI HOTEL LTD,Listed    ,18 OCT 2024,               5.00,           2600400,           1796.40,     4671358560.00
18 OCT 2024,APRAMEYA,SM,APRAMEYA ENGINEERING LTD ,Listed    ,18 OCT 2024,              10.00,          19040000,             72.20,     1374688000.00  
18 OCT 2024,APS,ST,AUSTRALIAN PREM SOLAR I L,Listed    ,18 OCT 2024,              10.00,          19740000,            548.90,    10835286000.00       
18 OCT 2024,APTECHT,EQ,APTECH LIMITED           ,Listed    ,18 OCT 2024,              10.00,          58024727,            204.60,    11873019638.75   
18 OCT 2024,APTUS,EQ,APTUS VALUE HSG FIN I LTD,Listed    ,18 OCT 2024,               2.00,         499343376,            374.25,   186879258468.00     
18 OCT 2024,ARABIAN,SM,ARABIAN PETROLEUM LIMITED,Listed    ,18 OCT 2024,              10.00,          10892000,             86.75,      944881000.00   
18 OCT 2024,ARCHIDPLY,EQ,ARCHIDPLY IND. LTD       ,Listed    ,18 OCT 2024,              10.00,          19865000,            124.90,     2480741200.00 
18 OCT 2024,ARCHIES,BE,ARCHIES LTD              ,Listed    ,18 OCT 2024,               2.00,          33780000,             28.45,      961041000.00   
18 OCT 2024,ARE&M,EQ,AMARA RAJA ENERGY MOB LTD,Listed    ,18 OCT 2024,               1.00,         183025364,           1342.35,   245684097365.40     
18 OCT 2024,ARENTERP,BE,RAJDARSHAN INDUSTRIES LTD,Listed    ,18 OCT 2024,              10.00,           3108300,             45.55,      141614148.00  
18 OCT 2024,ARHAM,SM,ARHAM TECHNOLOGIES LTD   ,Listed    ,18 OCT 2024,              10.00,          16920000,            151.00,     2554920000.00     
18 OCT 2024,ARIES,EQ,ARIES AGRO LTD.          ,Listed    ,18 OCT 2024,              10.00,          13004339,            257.80,     3352518594.20     
18 OCT 2024,ARIHANTACA,ST,ARIHANT ACADEMY LIMITED  ,Listed    ,18 OCT 2024,              10.00,           6055200,            229.50,     1389668400.00
18 OCT 2024,ARIHANTCAP,EQ,ARIHANT CAPITAL MKTS LTD ,Listed    ,18 OCT 2024,               1.00,         104112800,            118.65,    12352983720.00
18 OCT 2024,ARIHANTSUP,EQ,ARIHANT SUPERSTRUCT LTD  ,Listed    ,18 OCT 2024,              10.00,          41159991,            365.85,    15058382707.35
18 OCT 2024,ARISTO,SM,ARISTO BIO T AND LIFESC L,Listed    ,18 OCT 2024,              10.00,           6807800,            121.25,      825445750.00    
18 OCT 2024,ARKADE,EQ,ARKADE DEVELOPERS LIMITED,Listed    ,18 OCT 2024,              10.00,         185663617,            152.85,    28374970586.10    
18 OCT 2024,ARMANFIN,EQ,ARMAN FIN SERV LTD       ,Listed    ,18 OCT 2024,              10.00,          10490538,           1524.25,    15990202546.50  
18 OCT 2024,AROGRANITE,EQ,ARO GRANITE IND. LTD.    ,Listed    ,18 OCT 2024,              10.00,          15300000,             54.65,      836145000.00
18 OCT 2024,ARROWGREEN,EQ,ARROW GREENTECH LIMITED  ,Listed    ,18 OCT 2024,              10.00,          15087938,            798.85,    12052999271.30
18 OCT 2024,ARSHIYA,BE,ARSHIYA LIMITED          ,Listed    ,18 OCT 2024,               2.00,         263475915,              3.80,      998573717.85   
18 OCT 2024,ARSSINFRA,BE,ARSS INFRA PROJ. LTD     ,Listed    ,18 OCT 2024,              10.00,          22737966,             18.35,      417241676.10 
18 OCT 2024,ARTEMISMED,EQ,ARTEMIS MED SERVICE LTD  ,Listed    ,18 OCT 2024,               1.00,         137602250,            274.05,    37709896612.50
