ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF200K01VJ3,200K01VJ3,DR,OMF,9,1326.31
INF200K01VN5,200K01VN5,DP,OMF,9,1528.9
INF200K01VO3,200K01VO3,DR,OMF,9,1528.9
INF200K01YQ2,200K01YQ2,DP,OMF,9,18.92
INF200K01YR0,200K01YR0,DR,OMF,9,18.92
INF200K01YS8,200K01YS8,DP,OMF,9,20.95
INF200K01YT6,200K01YT6,DR,OMF,9,20.95
INF200KA1515,200KA1515,DP,OMF,9,37.85
INF200KA1523,200KA1523,DR,OMF,9,37.85
INF200KA1DF3,200KA1DF3,GR,OMF,9,25.63
INF200KA1DG1,200KA1DG1,DP,OMF,9,23.46
INF200KA1DH9,200KA1DH9,DR,OMF,9,23.46
INF200KA1DI7,200KA1DI7,DP,OMF,9,24.27
INF200KA1DJ5,200KA1DJ5,DR,OMF,9,24.27
INF200KB1159,200KB1159,GR,OMF,9,10.37
INF200KB1167,200KB1167,DP,OMF,9,10.37
INF200KB1175,200KB1175,DR,OMF,9,10.37
INF200KB1183,200KB1183,GR,OMF,9,10.42
INF204K01257,204K01257,DP,OMF,9,1445.27
INF204K01265,204K01265,DR,OMF,9,1445.27
INF204K01EP8,204K01EP8,DR,OMF,9,1011.55
INF204K01EQ6,204K01EQ6,DR,OMF,9,1011.98
