MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N4,945IFSL25,SEC RE NCD 9.45% SR.I,       981.00,       968.00,       968.00,       968.00,       968.00,                     1936.00,2, ,1,      1170.00,       941.00
N,N4,965AEL27,SEC RE NCD 9.65% SR IV,      1009.32,      1010.12,      1010.12,      1010.12,      1010.12,                    34344.08,34, ,3,      1010.12,       991.00
N,N4,CAGL25A,SEC RE NCD SR. IV,      1160.00,      1200.00,      1200.00,      1200.00,      1200.00,                     8400.00,7, ,1,      1200.00,       863.65
N,N5,1025NFL25,SEC RE NCD 10.25% SR.II,       999.80,       973.50,       984.23,       965.00,       975.55,                   208226.80,214, ,10,      1180.00,       931.35
N,N5,10CAGL27,SEC RE NCD 10% SR. V,      1010.00,      1009.20,      1009.20,      1007.22,      1007.22,                    20164.20,20, ,2,      1060.00,       888.00
N,N5,830PFCL27,8.30% TAX FREE NCD,      1065.00,      1065.00,      1065.00,      1065.00,      1065.00,                    54315.00,51, ,2,      1145.00,      1035.35
N,N5,850NHAI29,8.50% TAX FREE TR I S IIA,      1150.60,      1156.60,      1156.60,      1156.60,      1156.60,                     8096.20,7, ,1,      1252.00,      1003.66
N,N5,879NHPC28,8.79% SEC RED BOND S2B,      1155.00,      1155.00,      1158.00,      1155.00,      1158.00,                   115650.00,100, ,2,      1297.00,      1090.53
N,N5,888ERFL28,SEC RED NCD 8.88% SR. V,       921.80,       921.80,       925.00,       915.00,       915.00,                   236532.20,257, ,6,       955.00,       825.80
N,N5,888NHB29,BOND 8.88%PA TF TR-I S 2B,      5920.00,      5920.00,      5920.00,      5920.00,      5920.00,                   491360.00,83, ,2,      6130.00,      5009.00
N,N5,925SCL25,SEC RE NCD 9.25% SR II,       965.00,       968.00,       968.00,       964.38,       968.00,                    44493.26,46, ,11,      1110.00,       933.99
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,       945.00,       940.50,       945.00,       937.07,       940.33,                   390712.07,415, ,9,       990.00,       900.00
N,N6,1035UCL24,SEC RED NCD 10.35% SR. II,       990.00,       990.10,       990.10,       990.10,       990.10,                    94059.50,95, ,1,      1139.90,       950.00
N,N6,10IIFL29,UNSEC RED NCD 10.0% SR. V,       989.98,       995.00,       995.00,       960.00,       960.62,                   176350.00,180, ,3,      1036.00,       875.20
N,N6,10NIDO26,SEC RED NCD 10% SR. VI,       979.50,       977.00,       982.00,       977.00,       982.00,                    94080.00,96, ,8,      1070.00,       952.00
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,      1169.48,      1172.83,      1172.83,      1171.00,      1171.00,                  3780829.80,3224, ,5,      1250.00,      1130.00
N,N6,891NTPC33,8.91%S-R-NCD SERIES 3B,      1333.00,      1334.00,      1350.01,      1333.50,      1350.01,                    68029.51,51, ,3,      1380.00,      1258.00
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,      6685.00,      6699.00,      6699.00,      6664.00,      6672.34,                  2104025.00,315, ,17,      7526.00,      6279.00
N,N6,93MOFSL34,SEC RE NCD 9.30% SR VII,      1025.99,      1022.00,      1022.00,      1022.00,      1022.00,                   209510.00,205, ,6,      1043.45,       971.00
N,N6,IIFLZC28C,UNSEC RE NCD 0% SR.III,      1200.00,      1200.00,      1219.67,      1200.00,      1219.67,                    88839.21,73, ,2,      1249.00,      1046.60
N,N7,1050NFL26,SEC RE NCD 10.50% SR.IV,      1003.00,      1001.10,      1001.10,       980.00,       989.41,                  1965828.65,1981, ,52,      1050.00,       914.85
N,N7,1050UCL25,SEC RED NCD 10.50% SR.III,       990.00,       991.35,       991.35,       990.00,       991.35,                    79240.50,80, ,5,      1022.00,       950.00
N,N7,825IIFL25,SEC RE NCD 8.25% SR.I,      1052.80,      1052.80,      1052.80,      1052.80,      1052.80,                     1052.80,1, ,1,      1058.07,       956.20
N,N7,849NTPC25,8.49% SEC NON-CUM RED NCD,         5.21,         5.21,         5.25,         5.20,         5.21,                   479431.21,91777, ,48,        11.51,         5.00
N,N7,898LTF29,SERENCD 8.98% SR.VI OP2,      1050.00,      1051.00,      1051.55,      1050.00,      1050.00,                  1534396.15,1460, ,8,      1135.00,      1020.00
